before_mask,after_mask
"Sumitomo Mitsui Banking Corporation has its main office located at 1-2-3 Marunouchi, Chiyoda-ku, Tokyo, Japan, with a postal code of 1000005, and its email contact is info@smbc.co.jp, while the manager, Yamada Hanako, can be reached at her official number 08012345678, and her birthday is January 30, 1985.","<masked company name> has its main office located at <masked address>, <masked postal code>, and its email contact is <masked email address>, while the manager, <masked human name>, can be reached at her official number <masked phone number>, and her birthday is <masked birth date>."
"The head office of ABC Holdings is located at 5th Floor, XYZ Building, 3-15-7 Roppongi, Minato-ku, Tokyo, with the postal code 1234567, and the contact person, Hanako Yamada, is available via her email address hanako.yamada@example.com and phone number 09012345678; Hanako's date of birth is October 15, 1985.","<masked company name> is located at <masked address>, <masked postal code>, and the contact person, <masked human name>, is available via her email address <masked email address> and phone number <masked phone number>; <masked human name>'s date of birth is <masked birth date>."
"On March 3, 2023, Hana Yamada visited the headquarters of SoftTech Solutions Inc., located at 5-2-1 Akasaka, Minato-ku, Tokyo, and during her visit, she provided her contact details including an email address hana.yamada@example.com, her personal phone number 09012345678, and her residential postal code 1239876 as well as her home address at 7-4-11 Shibuya, Shibuya-ku, Tokyo.","On March 3, 2023, <masked human name> visited the headquarters of <masked company name>, located at <masked address>, and during her visit, she provided her contact details including an email address <masked email address>, her personal phone number <masked phone number>, and her residential postal code <masked postal code> as well as her home address at <masked address>."
"Microsoft Japan Co. Ltd., located at Shinagawa Intercity Tower B, 2-15-3 Konan, Minato-ku, Tokyo, with the postal code 1080075, is where Yamada Hanako works and her office email is hanako.yamada@microsoft.com. Her personal contact number is 09012345678, and her date of birth is January 20, 1985.","<masked company name>, located at <masked address>, <masked postal code>, is where <masked human name> works and her office email is <masked email address>. Her personal contact number is <masked phone number>, and her date of birth is <masked birth date>."
"John Smith, who works at Titan Technologies Ltd., resides at 123 Elm Street, Shinjuku, Tokyo, Japan, his postal code is 7891011, his mobile phone number is 09012345678, his email address is john.smith@example.com, and his date of birth is August 15, 1988.","<masked human name>, who works at <masked company name>, resides at <masked address>, <masked postal code>, his mobile phone number is <masked phone number>, his email address is <masked email address>, and his date of birth is <masked birth date>."
"Jonathon Smith received a package addressed to his residence at 56 Elm Street, Shibuya, Tokyo, 1500031, and the sender was listed as Global Innovations Ltd., a company based at 22 King Street, Chiyoda Ward, Tokyo, postal code 1020072, and their customer support phone number is 0356781234; additionally, Jonathon's email address jonathon.smith@example.com was used for confirmation of delivery, and his birthdate registered on the company's system is September 15, 1985.","<masked human name> received a package addressed to his residence at <masked address>, <masked postal code>, and the sender was listed as <masked company name>, a company based at <masked address>, <masked postal code>, and their customer support phone number is <masked phone number>; additionally, <masked human name>'s email address <masked email address> was used for confirmation of delivery, and his birthdate registered on the company's system is <masked birth date>."
"Mr. Hiroshi Yamamoto, who works at Nishimura and Partners Law Office located at 3-2-5 Marunouchi, Chiyoda-ku, Tokyo, with the postal code 1028160, can be contacted via his official email hiroshi.yamamoto@nishimura.jp or phone number 0312345678. His birthdate is September 15, 1985.","<masked human name>, who works at <masked company name> located at <masked address>, with the postal code <masked postal code>, can be contacted via his official email <masked email address> or phone number <masked phone number>. His birthdate is <masked birth date>."
"The Nakamura Corporation, based in Osaka, has its headquarters at 5-3-10 Nakanoshima, Kita-ku, Osaka City, with a postal code of 5300005, and their customer service team can be reached at 0661234567. The CEO, Sato Haruka, has a personal email address of haruka.sato.nakamura@example.com, and her date of birth is November 15, 1985.","<masked company name>, based in Osaka, has its headquarters at <masked address>, with a postal code of <masked postal code>, and their customer service team can be reached at <masked phone number>. The CEO, <masked human name>, has a personal email address of <masked email address>, and her date of birth is <masked birth date>."
"The newly hired software engineer, Sato Ichiro, moved into his company-provided apartment located at 3-2-1 Minato-Mirai, Nishi-ku, Yokohama City, Kanagawa Prefecture, with the postal code 5678901; his personal email address satoichiro@example.com and his phone number 0451234567 are registered with the HR department of Nippon Technica Corp, where he starts work on February 15, 2024.","<masked human name> moved into his company-provided apartment located at <masked address>, <masked postal code>; his personal email address <masked email address> and his phone number <masked phone number> are registered with the HR department of <masked company name>, where he starts work on <masked birth date>."
"Kyoto-based enterprise Green Technologies LLC specializes in developing eco-friendly solutions; their headquarters are located at 23 Ichijoji Nishimachi, Sakyo Ward, Kyoto City, postal code 6068006, while the CEO, Yamada Hanako, can be reached via email at hanako.yamada@greentech.jp, and her contact number is 0751234567; furthermore, she was born on July 15, 1985.","<masked company name> specializes in developing eco-friendly solutions; their headquarters are located at <masked address>, <masked postal code>, while the CEO, <masked human name>, can be reached via email at <masked email address>, and her contact number is <masked phone number>; furthermore, she was born on <masked birth date>."
"Mitsubishi Heavy Industries Ltd., located at 1-1 Marunouchi, Chiyoda-ku, Tokyo 100-8331, engages in various operations including shipbuilding and aerospace technology. The company's employee, Shota Yamada, whose email address is shota.yamada@mhi.co.jp, can be reached at the phone number 03-1234-5678. Additionally, Shota's postal code for his residence in Yokohama is 2200012, and his date of birth is January 5, 1985.","<masked company name>, located at <masked address>, <masked postal code>, engages in various operations including shipbuilding and aerospace technology. The company's employee, <masked human name>, whose email address is <masked email address>, can be reached at the phone number <masked phone number>. Additionally, <masked human name>'s postal code for his residence in Yokohama is <masked postal code>, and his date of birth is <masked birth date>."
"John Smith recently moved to an apartment at 742 Evergreen Terrace, Springfield, his postal code is 123456, and his email address is johnsmith@example.com. He works for a company called Global Tech Solutions, whose registered office is located at 99 Innovation Drive, Silicon Valley, CA, and his work phone number is 9876543210. John’s date of birth is October 15, 1987.","<masked human name> recently moved to an apartment at <masked address>, <masked postal code>, and his email address is <masked email address>. He works for a company called <masked company name>, whose registered office is located at <masked address>, and his work phone number is <masked phone number>. John’s date of birth is <masked birth date>."
"The headquarters of SoftBank Group Corp. is situated at 1-9-1, Higashi-Shimbashi, Minato-ku, Tokyo, and its postal code is 1057303. The email address for customer inquiries is support@softbank.jp, while their main office phone number is 0350000150. On July 20, 1985, Suzuki Kenji, one of the team leaders, was born, and he currently resides at 4-2-3 Meguro, Meguro-ku, Tokyo, postal code 1530063.","<masked company name> is situated at <masked address>, and its postal code is <masked postal code>. The email address for customer inquiries is <masked email address>, while their main office phone number is <masked phone number>. On <masked birth date>, <masked human name>, one of the team leaders, was born, and he currently resides at <masked address>, postal code <masked postal code>."
